garage_id;antenne_id;client_nom;client_prenom;client_telephone;client_vehicule_type;client_vehicule_marque;client_vehicule_couleur;client_vehicule_immat;employe_nom;employe_prenom;employe_poste;employe_salaire;reparation_date_entree;reparation_date_sortie;reparation_temps;reparation_prix;garage_vehicule_marque;garage_vehicule_immat;location_type;location_prix_ht;piece_ref;piece_nom;piece_prix_achat;piece_prix_vente;piece_stock;piece_quantite_utilisee
1;1;Hamon;DANIELLE;+33 218710218;Berline;Peugeot;Rouge;067-WBJ-51;Guyot;Émilie;Mécanicien;N/A;2025-10-20 22:23:23;2020-01-01;2.5;450.0;BMW;440-NDG-91;PRET;;REF-102;Plaquettes de frein;45.0;85.0;EN STOCK;2
1;1; Thibault ;andré;+33 (0)6 33 75 12 84;Berline;Toyota;Gris;637-AFT-88;laroche;TRISTAN;Réceptionniste;2100.0;08/02/2025 01:28;2020-01-01;1h30;;Citroën;TM-582-CG;PRET;-20.0;REF-101;Filtre à huile;15.0;30.0;EN STOCK;1
1;1;Duhamel;Marguerite;0155011731 (perso);SUV;BMW;Bleu;HU-582-LZ;Royer;ADÈLE;Chef d'atelier;1950.5;2025-12-03T08:46:57;2026-07-25T14:33:16;2.0 hrs;-50.0;Volkswagen;110-ERB-55;pret;50.0;REF-103;Disque de frein;80.0;150.0;-2;2
1;1;Lucas;Émilie;03 76 14 96 39 (perso);Citadine;BMW;Bleu;962-CIX-67; Bernier ;monique;Carrossier;-1500;2025-02-08 20:10:55;2025/11/18;2.5;-50.0;Renault;931-HXQ-06;LOCATION;35.0;REF-103;Disque de frein;80.0;150.0;EN STOCK;0
1;1;ÉTIENNE;Pénélope;0463165979;SUV;Peugeot;Gris;000-UWN-23;lévy;Gabrielle;Carrossier;2200 €;2024-08-19 09:36:00;2026/02/26;1h30;;Volkswagen;KU-253-NW;Location_Courte;45 €;REF-102;Plaquettes de frein;45.0;85.0;0;-1
1;1;LE GOFF;XAVIER;+33.(0)3.89.15.39.00;Berline;Toyota;Gris;977-YLA-40;Delannoy;jean;Carrossier;N/A;2026-02-19 13:38:07;2026-05-13T11:16:55;1.0;;Citroën;ZN-293-GE;pret;35.0;REF-103;Disque de frein;80.0;150.0;EN STOCK;2
1;1; Guillet ;Lorraine;0567321255;SUV;BMW;Bleu;941-OYF-02; Leroux ;RENÉ;Réceptionniste;;2024/08/16;2025-01-28 14:57:11;2.5;;BMW;254-IOX-88;PRET;;REF-103;Disque de frein;80.0;150.0;EN STOCK;1
1;1;LOMBARD;paulette;+33 (0)4 91 42 47 10;SUV;Peugeot;Rouge;723-SLD-94;cordier;Alain;Mécanicien;2100.0;2025/04/23;2026-01-14T14:52:23;;450.0;Peugeot;PR-594-TM;Location_Courte;;REF-102;Plaquettes de frein;45.0;85.0;-2;-1
1;1;Lenoir;Julie;+33 (0)8 03 57 03 55;Berline;Toyota;Noir;961-DNR-93;moreau;Marine;Réceptionniste;-1500;2026-02-18T12:19:36;04/03/2026 17:29;1.0;-50.0;Renault;QG-381-KI;LOCATION;;REF-102;Plaquettes de frein;45.0;85.0;15;1
1;1;Weber;MAGGIE;0498781367;Citadine;Citroën;Rouge;NN-251-UC; Boulanger ;stéphane;Carrossier;2200 €;2025/07/25;2025-06-24T14:29:57;;300 €;Peugeot;BD-819-YR;Location_Courte;-20.0;REF-102;Plaquettes de frein;45.0;85.0;15;1
1;1;Carpentier;raymond;+33 33 (0)7 73 03 91 61;Citadine;Toyota;Rouge;830-NMF-07;BLANCHARD;Thibaut;Mécanicien;2200 €;19/06/2026 20:40;25/11/2024 10:46;2.5;-50.0;Volkswagen;GK-831-HC;LOCATION;35.0;REF-104;Batterie 12V;90.0;160.0;15;1
1;1;Delaunay; Margot ;+33.5.36.44.44.18;Citadine;Peugeot;Bleu;868-ALV-05; Benard ; Stéphanie ;Carrossier;2100.0;05/04/2025 03:57;2020-01-01;2.0 hrs;-50.0;Volkswagen;545-GKZ-78;pret;-20.0;REF-104;Batterie 12V;90.0;160.0;0;2
1;1;guilbert;Étienne;+33285548169;Citadine;Toyota;Noir;XG-373-DY;PRUVOST;Dorothée;Chef d'atelier;2100.0;2025-01-21T05:11:16;2020-01-01;2.5;120.0;BMW;QA-203-BG;PRET;50.0;REF-104;Batterie 12V;90.0;160.0;15;2
1;1;Ramos;MARTINE;06.25.48.39.31;SUV;Citroën;Bleu;SR-015-CZ;Charles;stéphanie;Réceptionniste;-1500;20/08/2025 01:59;2025-12-20 11:32:08;1.0;120.0;Volkswagen;793-BZK-32;PRET;35.0;REF-102;Plaquettes de frein;45.0;85.0;-2;2
1;1;Legros;Nathalie;0387641262;SUV;Citroën;Bleu;YG-636-DO; Gomez ; Élisabeth ;Réceptionniste;N/A;2026-03-09T08:44:33;2026/03/24;;-50.0;Toyota;007-WMW-16;PRET;50.0;REF-103;Disque de frein;80.0;150.0;15;1
1;1;Sauvage;SYLVIE;+33 33 4 73 02 62 84;Berline;Toyota;Noir;BK-373-QM;baudry;Margaud;Réceptionniste;N/A;2026-06-13 16:08:07;2024-12-29T11:02:51;1.0;300 €;Citroën;KJ-100-SY;PRET;35.0;REF-103;Disque de frein;80.0;150.0;0;0
1;1;PETITJEAN; Michèle ;+33 (0)1 75 40 08 37;Citadine;Renault;Rouge;ME-155-QL;Marin;Suzanne;Chef d'atelier;N/A;18/04/2025 11:41;2025/11/08;2.0 hrs;450.0;Renault;565-PYK-82;pret;45 €;REF-101;Filtre à huile;15.0;30.0;-2;2
1;1;Wagner;Luc;+33 33 (0)1 44 54 39 26;Utilitaire;BMW;Bleu;250-BDG-43;Ruiz;thibault;Chef d'atelier;2200 €;2025-06-27T05:30:41;2020-01-01;1h30;300 €;Toyota;513-XBE-03;LOCATION;45 €;REF-102;Plaquettes de frein;45.0;85.0;15;-1
1;1;Samson;Alex;05.18.10.59.89;Utilitaire;Citroën;Noir;HY-662-CD;Lombard;Antoine;Chef d'atelier;2100.0;2025/08/24;2025-12-22 17:21:19;1.0;-50.0;Citroën;690-YXK-73;Location_Courte;;REF-103;Disque de frein;80.0;150.0;15;1
1;1;Jacob;matthieu;0147962494;SUV;Renault;Rouge;140-RMX-25;Allain;valérie;Réceptionniste;-1500;2025/03/23;2025-06-25 21:22:36;;450.0;Citroën;411-UTB-47;PRET;-20.0;REF-101;Filtre à huile;15.0;30.0;0;0
1;1; Becker ;Lucy;+33 (0)5 86 21 53 70;SUV;Toyota;Rouge;298-CZA-17;Martins;pénélope;Réceptionniste;;2025-06-15 12:50:11;2025-04-28 07:29:16;2.5;450.0;Volkswagen;013-BQF-30;Location_Courte;50.0;REF-103;Disque de frein;80.0;150.0;EN STOCK;1
1;1;pichon;sophie;03 44 22 05 58;SUV;Volkswagen;Gris;TJ-848-WI; Laroche ;margot;Carrossier;;31/07/2026 13:14;2020-01-01;;;Citroën;FQ-559-VQ;PRET;50.0;REF-103;Disque de frein;80.0;150.0;0;2
1;1;BERNARD;LAURENT;0668225872;Citadine;Volkswagen;Gris;951-UHH-35;Gautier;Hugues;Carrossier;-1500;2026-06-17 07:30:58;2024/09/30;1.0;300 €;Peugeot;VF-859-HC;LOCATION;;REF-104;Batterie 12V;90.0;160.0;15;2
